target_fips,storm_year,storm_month,n_clean_neighbors,neighbor_fips
48129,2023,2,3,"48211,40129,48211"
17033,2020,7,2,"17035,17035"
48207,2023,9,1,48133
41055,2024,8,10,"41049,41069,41027,41031,41069,41027,41049,53005,53059,53077"
17137,2021,5,2,"17083,17083"
01085,2023,6,1,01035
22009,2021,9,6,"22003,22047,22121,22003,22037,22121"
47129,2025,2,5,"47173,47137,21147,21231,47137"
06023,2024,1,5,"41015,41033,06049,41033,41035"
20095,2023,8,4,"40003,40003,40053,40053"
40045,2023,8,2,"40093,40093"
20065,2022,5,1,31061
13159,2021,5,3,"13021,13021,13141"
18099,2025,6,1,18103
32013,2024,10,3,"16027,16027,16087"
28029,2023,12,3,"22107,22107,28005"
13045,2021,12,3,"13233,13233,13233"
51107,2020,3,3,"51600,51610,51685"
39049,2025,5,5,"39083,39101,39117,39083,39101"
46085,2021,5,4,"31015,46009,46067,31015"
48497,2024,6,2,"48009,40067"
21213,2023,12,1,21061
06113,2024,2,1,06005
13009,2024,7,5,"13125,13301,13125,13163,13175"
40113,2024,4,4,"40053,40083,40119,40119"
54047,2023,5,3,"51021,51021,54089"
28151,2024,6,4,"05107,28027,28027,28135"
22049,2022,11,4,"22041,22083,22067,22083"
22099,2024,6,1,22039
48347,2024,12,1,48455
47031,2024,7,2,"47117,47117"
40015,2022,6,3,"40043,40093,40043"
45075,2020,4,2,"45089,45089"
48255,2022,5,1,48149
29051,2021,3,2,"29089,29073"
20053,2025,6,3,"20123,20141,20141"
27099,2020,6,2,"19067,19067"
05099,2024,12,3,"05039,05039,05113"
23017,2024,4,2,"23023,23023"
13277,2023,5,1,13315
39157,2025,6,8,"39083,39005,39083,39169,39099,39133,39153,39169"
47073,2023,2,1,51520
17101,2021,6,2,"17079,17079"
37109,2024,7,1,37011
28033,2025,5,2,"05077,05077"
05069,2024,8,4,"05011,05039,05039,05105"
48487,2021,4,2,"40033,40033"
21221,2023,5,2,"47079,47079"
19063,2021,6,11,"19021,19035,19141,19143,19141,19143,19021,19143,27033,27165,27165"
17173,2024,5,2,"17005,17005"
06007,2023,9,1,06105
45045,2021,5,2,"37087,37087"
49045,2022,7,7,"16083,49029,49039,49029,49039,49029,49033"
21237,2022,6,2,"21189,21189"
55013,2024,8,2,"27065,27065"
48359,2025,6,2,"35009,35009"
49017,2025,5,4,"08083,08085,49019,49019"
56035,2022,8,6,"56007,56017,49033,56041,56007,56041"
08035,2023,5,6,"08043,08019,08047,08093,08043,08093"
48385,2024,4,1,48323
22023,2021,4,1,22003
13001,2021,10,1,13309
48199,2024,1,4,"48339,48407,48407,48455"
12069,2021,4,2,"12055,12055"
18045,2023,7,1,18181
51083,2022,6,1,37185
20153,2024,7,2,"31085,31085"
05073,2025,4,3,"05109,05019,05109"
37113,2024,7,2,"13281,13281"
20027,2022,4,3,"20089,20123,20123"
28059,2024,8,2,"28111,28111"
29167,2024,4,1,29083
47043,2023,7,2,"47135,47135"
18047,2024,5,2,"18115,18115"
22103,2023,5,7,"22075,22075,22075,28113,28113,28035,28073"
13135,2024,7,3,"13219,13219,13219"
26157,2025,6,4,"26011,26051,26011,26069"
47005,2024,4,4,"47071,47081,47081,47101"
19131,2023,7,2,"19189,19189"
51163,2025,6,2,"51580,54063"
13155,2025,4,5,"13271,13315,13173,13271,13315"
20141,2022,4,1,31061
13275,2024,8,2,"13087,13087"
41017,2020,5,5,"32031,06049,41029,06049,32031"
32031,2024,7,5,"41035,32015,32015,32015,41035"
13177,2024,4,4,"13315,13193,13307,13307"
12061,2022,3,2,"12043,12051"
12069,2024,5,5,"12017,12055,12049,12055,12017"
31027,2023,6,12,"31043,31173,46127,31003,31015,31003,31173,46083,46125,46127,46067,46125"
27021,2025,4,1,27065
