stcofips,year,month,tier,month_t,deviation
08014,2021,8,mid,-1,0.41336227553375693
08014,2021,8,mid,-2,0.8131705557906628
08014,2021,8,mid,-3,1.2929482277116335
08014,2023,5,mid,-1,0.6318620776317374
08014,2023,5,mid,-2,1.292937782599111
08014,2023,5,mid,-3,1.5901327595060337
08015,2020,7,mid,-1,0.2504338598981377
08015,2020,7,mid,-2,0.4657632667032914
08015,2020,7,mid,-3,0.86812059054553
08021,2022,8,mid,-1,-1.2981874667583924
08021,2022,8,mid,-2,-2.258030805896311
08021,2022,8,mid,-3,-2.581069749776219
08023,2020,7,mid,-1,0.9829983818446095
08023,2020,7,mid,-2,2.03453632532171
08023,2020,7,mid,-3,2.5765763734906244
08023,2022,7,mid,-1,0.2607412543288774
08023,2022,7,mid,-2,1.2367089464373606
08023,2022,7,mid,-3,2.841721808144797
08025,2023,8,mid,-1,0.2832581008898387
08025,2023,8,mid,-2,0.3167788257093207
08025,2023,8,mid,-3,0.9034962541077505
08027,2024,5,mid,-1,-0.22981595874948368
08027,2024,5,mid,-2,-0.36038893018522344
08027,2024,5,mid,-3,-0.09096760661219605
08029,2023,4,mid,-1,0.29838182167108585
08029,2023,4,mid,-2,0.2414263241348351
08029,2023,4,mid,-3,0.04805335090014751
08033,2020,6,mid,-1,0.9646905867834619
08033,2020,6,mid,-2,1.9994096532349346
08033,2020,6,mid,-3,2.988105407161598
08033,2023,4,mid,-1,0.23731147039082146
08033,2023,4,mid,-2,-0.044827012273501055
08033,2023,4,mid,-3,-0.43300487754937933
08037,2022,2,mid,-1,-0.4015342834738931
08037,2022,2,mid,-2,-0.6405808093914374
08037,2022,2,mid,-3,-1.1728958853021823
