target_fips,storm_year,storm_month,n_clean_neighbors,neighbor_fips
20137,2022,5,74,"19027,46015,27117,46035,31103,46005,19167,19193,19023,19183,46073,19141,19185,46023,29197,46099,17091,19035,20013,27063,46009,46125,19119,29115,19041,46097,27133,17063,27101,20089,27105,46101,29103,19143,46079,19025,31091,46111,20123,29135,27081,46083,19115,31061,29051,29073,17071,19073,46127,31043,31147,17039,19149,19021,19087,46135,31051,17069,29093,29151,19197,27083,19101,46067,27033,27103,19059,46077,19093,46087,17013,29033,46027,29041"
40087,2023,5,31,"40093,40053,48243,40043,22091,48391,05111,40005,05077,05039,48175,22037,05055,22065,22107,22075,22121,48211,22123,05035,40103,48007,40003,05021,05123,05107,05011,05003,48481,40129,22025"
18105,2023,6,54,"39151,54059,39133,54089,54093,39155,18131,51830,39055,51183,51685,54045,42049,51021,18103,39075,51720,54105,39093,51735,51017,51595,39099,21201,39153,39143,39095,39043,39169,18141,51620,51095,51045,54109,39007,39161,51750,51520,51119,51199,39035,18009,51660,39005,39103,39085,51036,42093,21063,39123,42039,18181,39173,51530"
28103,2021,6,42,"28113,47083,37043,28045,28005,47105,13269,37121,12027,13053,13021,47137,13141,28147,13031,13309,13037,13231,47183,13279,37199,13317,37087,47159,45011,47171,13209,13259,13283,37113,37075,13265,13301,13281,28135,28009,37181,13023,28027,13107,37073,13197"
05113,2022,11,47,"48495,40093,48057,40053,22117,22083,22007,48173,48487,22041,40043,22091,48103,48321,05017,22029,05111,48071,40005,05077,48193,40019,05039,22037,22077,22107,22075,22121,48211,22087,22047,22123,40105,05035,48127,48197,40103,40003,05021,05123,05107,05011,05003,48481,22025,48435,22067"
45029,2024,5,54,"12017,12115,13061,13125,12027,13053,13271,47137,37005,37177,13315,28111,47121,28037,13143,13279,13225,13163,47101,13175,13195,13317,47177,45011,47023,13013,12041,13307,28117,12055,45049,13283,13117,47117,13047,13087,28063,37011,47135,28139,13193,13301,13281,28135,28107,28009,12049,28077,28027,45033,47075,13029,47071,45005"
20009,2024,7,78,"17199,29119,27065,19151,27091,17139,31095,31121,31011,29101,20107,27173,29211,27029,19031,29075,31167,27073,27087,29083,17059,29173,20097,38083,31085,46097,27125,17145,27079,29053,38099,31115,29061,31039,38045,31073,27041,31091,20123,31183,29175,31171,38089,29129,27031,38095,17151,31117,17129,31071,17165,27009,38031,27071,27127,38093,27149,38065,17047,19087,17033,29079,17069,31173,27121,27023,17123,19093,29089,17013,29033,29157,29003,29041,17137,20141,29107,17003"
28087,2020,2,13,"13017,37121,12027,12053,47069,13059,37199,12055,13283,13281,28009,12049,45089"
37197,2024,5,54,"12017,12115,13061,13125,12027,13053,13271,47137,37005,37177,13315,28111,47121,28037,13143,13279,13225,13163,47101,13175,13195,13317,47177,45011,47023,13013,12041,13307,28117,12055,45049,13283,13117,47117,13047,13087,28063,37011,47135,28139,13193,13301,13281,28135,28107,28009,12049,28077,28027,45033,47075,13029,47071,45005"
20191,2025,5,80,"17199,19105,31179,31181,27155,27065,31121,19183,31083,31079,31129,31175,29223,17085,19185,20043,17081,31093,29143,31047,19117,31019,31167,20183,17059,19097,19107,17155,31059,19051,17159,20089,29061,31073,29063,31125,31163,20123,31183,31171,31035,29017,31099,20133,17009,31169,17087,17127,17151,19047,19115,17185,31061,29073,29137,29025,17153,19007,19055,29199,20163,38063,31185,19087,29151,29111,31173,20147,31143,19101,31077,31137,17123,31065,31001,31081,19045,29157,20141,17003"
37161,2022,6,69,"13147,47083,13149,47053,28137,47051,47017,12051,47005,28073,45043,47087,01013,13125,12027,13157,28065,13053,13249,47069,28091,12043,01075,28039,13059,13111,13309,28037,01035,13037,01039,47033,01133,01107,13195,13317,47027,28057,13159,13013,01131,13291,13137,47175,47097,13307,13259,13011,13219,28013,47039,13247,37185,47109,28063,28139,13301,13281,13221,13319,01057,28077,28027,45033,13133,37141,47075,28141,45089"
42067,2021,5,32,"18169,39137,39055,39083,39115,51685,21173,51021,39077,51720,51735,51820,39021,21091,39099,18165,21115,21201,39143,18159,51540,21163,51690,51520,51580,18009,51131,39103,39085,21143,18093,18101"
40091,2022,8,42,"40093,48057,48131,40053,22117,22083,48115,22101,40075,22007,48145,40043,22091,05081,05037,48321,22125,48377,48071,48425,40005,05077,40019,22037,22121,22047,40105,48025,48127,48197,48395,40095,48249,48161,48297,40069,40003,05123,22025,40029,48435,22067"
