,nri_id,stateabbrv,county,risk_value,eal_valt,sovi_score,resl_score,crf_value,year
6024,C29041,MO,Chariton,2796605.168981522,2073815.2305016513,45.48679542767048,56.80159999999999,1.3485315026377878,2021
6025,C29041,MO,Chariton,2809248.8345618914,2594842.869767341,15.720000267028809,72.12000274658203,1.0826277256679417,2023
6026,C29041,MO,Chariton,10011363.720083315,8470929.38719085,57.82442748,79.6119592875318,1.181849507,2025
6027,C29043,MO,Christian,10907234.615453968,12619661.6668,29.247142294,56.1766,0.8643048366462065,2020
6028,C29043,MO,Christian,5533115.3107836535,6401809.958919127,29.24714229404809,56.17659999999999,0.8643048366462065,2021
6029,C29043,MO,Christian,13175833.039954033,12697397.577675244,13.84000015258789,58.65999984741211,1.037679804806615,2023
6030,C29043,MO,Christian,26792872.53588451,36097016.988418475,10.62340967,52.44910941475827,0.742246168,2025
6031,C29045,MO,Clark,3207331.7240676023,3088071.31621,33.7012219156,52.0886,1.0386197064917435,2020
6032,C29045,MO,Clark,1730157.6712680429,1665824.0359334033,33.701221915648404,52.0886,1.0386197064917435,2021
6033,C29045,MO,Clark,3055754.093631968,2626034.2062292127,43.95000076293945,9.420000076293945,1.163638343469943,2023
6034,C29045,MO,Clark,8034466.679636131,6684678.735279938,53.75318066,7.15648854961832,1.201922635,2025
6035,C29047,MO,Clay,19743064.14682752,24498346.8886,27.2368939693,56.930198,0.8058937297526271,2020
6036,C29047,MO,Clay,13242955.13352963,16432632.051368136,27.23689396925503,56.930198,0.8058937297526271,2021
6037,C29047,MO,Clay,31880349.11633291,31832005.580229305,24.670000076293945,85.01000213623047,1.0015187084578054,2023
6038,C29047,MO,Clay,86190670.33338979,112626692.26122177,11.38676845,82.63358778625954,0.765277472,2025
6039,C29049,MO,Clinton,3259747.694643543,3208280.12635,36.1450532125,57.337198,1.0160421055103117,2020
6040,C29049,MO,Clinton,2431441.5248750723,2393051.933269901,36.14505321245565,57.337198,1.0160421055103117,2021
6041,C29049,MO,Clinton,7417468.989345454,7206128.93060776,9.390000343322754,70.75,1.0293278209108963,2023
6042,C29049,MO,Clinton,19660815.117814396,22210629.29920466,19.72010178,68.89312977099237,0.885198472,2025
